"src.geojson"	"field.names"
"caravanserail"	"AH.Date.From"
"caravanserail"	"AH.Date.To"
"caravanserail"	"Address"
"caravanserail"	"Address.Type"
"caravanserail"	"Administrative.Division."
"caravanserail"	"Administrative.Division.Type"
"caravanserail"	"Archaeological.From.Date"
"caravanserail"	"Archaeological.To.Date"
"caravanserail"	"Assessment.Activity.Date"
"caravanserail"	"Assessment.Activity.Type"
"caravanserail"	"Assessment.Investigator...Actor"
"caravanserail"	"BP.Date.From"
"caravanserail"	"BP.Date.To"
"caravanserail"	"Bedrock.Geology.Type"
"caravanserail"	"Built.Component"
"caravanserail"	"Cadastral.Reference"
"caravanserail"	"Construction.Technique"
"caravanserail"	"Country.Type"
"caravanserail"	"Cultural.Period.Certainty"
"caravanserail"	"Cultural.Period.Type"
"caravanserail"	"Cultural.Sub.period.Certainty"
"caravanserail"	"Cultural.Sub.period.Type"
"caravanserail"	"Damage.Extent.Type"
"caravanserail"	"Date.Inference.Making.Actor.Name"
"caravanserail"	"Datum.Description.EPSG.code"
"caravanserail"	"Datum.Type"
"caravanserail"	"Depositional.Process"
"caravanserail"	"Designation"
"caravanserail"	"Designation.From.Date"
"caravanserail"	"Designation.To.Date"
"caravanserail"	"Detailed.Condition.Assessments"
"caravanserail"	"Dimension.Type"
"caravanserail"	"Disturbance.Cause.Assignment.Assessor.Name...Actor"
"caravanserail"	"Disturbance.Cause.Category.Type"
"caravanserail"	"Disturbance.Cause.Certainty."
"caravanserail"	"Disturbance.Cause.Type."
"caravanserail"	"Disturbance.Date.From"
"caravanserail"	"Disturbance.Date.Occurred.Before"
"caravanserail"	"Disturbance.Date.Occurred.On."
"caravanserail"	"Disturbance.Date.To."
"caravanserail"	"EAMENA.ID"
"caravanserail"	"Effect.Certainty"
"caravanserail"	"Effect.Type"
"caravanserail"	"Fetch.Type"
"caravanserail"	"GE.Imagery.Acquisition.Date"
"caravanserail"	"General.Description"
"caravanserail"	"General.Description.Type"
"caravanserail"	"Geometry.Extent.Certainty"
"caravanserail"	"Geometry.Qualifier"
"caravanserail"	"Google.Earth.Assessment"
"caravanserail"	"Grid.ID"
"caravanserail"	"Heritage.Place.Function"
"caravanserail"	"Heritage.Place.Function.Certainty."
"caravanserail"	"Heritage.Place.Resource.Instance"
"caravanserail"	"Heritage.Place.Type"
"caravanserail"	"Imagery.Acquisition.Date"
"caravanserail"	"Information.Resource"
"caravanserail"	"Information.Resource.Acquisition.Date"
"caravanserail"	"Intervention.Activity.Type"
"caravanserail"	"Investigator.Role.Type"
"caravanserail"	"Land.Cover.Assessment.Date"
"caravanserail"	"Land.Cover.Type"
"caravanserail"	"Location.Certainty"
"caravanserail"	"Material.Class"
"caravanserail"	"Material.Type"
"caravanserail"	"Maximum.Depth.Min.Elevation"
"caravanserail"	"Measurement.Number"
"caravanserail"	"Measurement.Source.Type."
"caravanserail"	"Measurement.Unit"
"caravanserail"	"Minimum.Depth.Max.Elevation"
"caravanserail"	"Name.Type"
"caravanserail"	"Overall.Archaeological.Certainty.Value."
"caravanserail"	"Overall.Condition.State.Type"
"caravanserail"	"Overall.Site.Morphology.Type"
"caravanserail"	"Overall.Site.Shape.Type"
"caravanserail"	"Priority.Type"
"caravanserail"	"Recommendation.Type"
"caravanserail"	"Related.Geoarchaeology.Palaeolandscape"
"caravanserail"	"Resource.Name"
"caravanserail"	"Resource.Orientation"
"caravanserail"	"Restricted.Access.Record.Designation"
"caravanserail"	"SH.Date.From"
"caravanserail"	"SH.Date.to"
"caravanserail"	"Site.Feature.Arrangement.Type"
"caravanserail"	"Site.Feature.Form.Type"
"caravanserail"	"Site.Feature.Form.Type.Certainty"
"caravanserail"	"Site.Feature.Interpretation.Certainty"
"caravanserail"	"Site.Feature.Interpretation.Number.Type"
"caravanserail"	"Site.Feature.Interpretation.Type"
"caravanserail"	"Site.Feature.Number.Type"
"caravanserail"	"Site.Feature.Shape.Type"
"caravanserail"	"Spatial.Coordinates.Ref.System"
"caravanserail"	"Surficial.Geology.Type"
"caravanserail"	"Threat.Category"
"caravanserail"	"Threat.Cause.Type"
"caravanserail"	"Threat.Inference.Making.Assessor.Name...Actor"
"caravanserail"	"Threat.Probability."
"caravanserail"	"Tidal.Range"
"caravanserail"	"Topography.Type"
"caravanserail"	"Wave.Climate"
